id;name;email;income;department_id
6;Carlos;carlos@teste.com;2500;1
7;Ana;ana@teste.com;3200;2
8;Pedro;pedro@teste.com;4800;3
9;Sofia;sofia@teste.com;1800;1
10;Lucas;lucas@teste.com;6000;2
11;Laura;laura@teste.com;2200;3
12;Mateus;mateus@teste.com;3500;1
13;Julia;julia@teste.com;4100;2
14;Guilherme;guilherme@teste.com;5500;3
15;Beatriz;beatriz@teste.com;2900;1
16;Fernando;fernando@teste.com;3800;2
17;Larissa;larissa@teste.com;4300;3
18;Rafael;rafael@teste.com;1200;1
19;Manuela;manuela@teste.com;6500;2
20;Gustavo;gustavo@teste.com;2700;3
21;Isabela;isabela@teste.com;3300;1
22;Bruno;bruno@teste.com;4900;2
23;Camila;camila@teste.com;1600;3
24;Vinicius;vinicius@teste.com;5200;1
25;Gabriela;gabriela@teste.com;3100;2
